gender,readfk,mathfk,readsk,mathsk,readff,mathff,readsf,mathsf
0,35.37,29.98,51.08,46.74,59.68,55.48,76.54,82.18
1,31.5,20.2,31.95,29.21,46.89,43.57,55.71,48.43
1,27.36,20.39,36.06,26.58,56.54,33.35,106.25,65.54
0,28.09,24.61,39.94,31.46,46.14,49.26,64.57,54.26
1,49.11,56.43,51.94,75.51,71.5,72.98,96.53,100.3
0,29.23,22.84,49.45,33.03,61.19,31.25,77.67,52.74
1,32.66,28.95,37.45,32.55,42.82,44.42,63.15,75.44
1,26.97,20.2,41.16,29.5,48.6,33.96,75.98,40.9
1,29.01,20.14,29.17,23.3,34.19,26.12,42.48,42.48
0,36.81,25.69,36.39,32.49,34.2,45.72,63.3,53.19
1,28.72,32.66,35.99,36.31,50.16,30.6,102.01,76.17
0,104.33,48.59,151.62,71.87,152.79,77.49,144.21,83.53
0,27.87,20.4,32.41,34.54,37.7,28.89,56.8,35.29
1,25.03,14.78,28.69,18.85,38.11,18.29,38.26,30.11
1,24.95,12.56,25.57,19.38,30.72,16.85,39.32,39.1
1,28.46,14.44,26.33,24.12,29.09,37.56,46.41,58.93
1,46.28,28.55,58.86,43.65,76.21,53.4,105.84,69.85
0,85.2,37.88,102.93,45.03,136.49,53.28,126.99,81.07
0,38.9,30.22,66.12,46.93,79.11,56.34,88.41,67.17
1,26.61,21.57,39.31,29.58,38.12,35.25,65.18,49.21
1,34.65,19.99,42.56,36.21,46.3,41.35,73.96,55.71
1,47.15,45.41,58.82,54.49,102.25,68.29,101.18,87.27
1,39.84,35.77,50.5,43.08,66.22,50.98,72.53,79.78
0,34.78,22.34,43.81,26.84,53.03,29.74,84.52,41.32
1,31.24,20.55,42.37,31.07,52.35,38.22,56.82,41
0,27.14,14.01,36.57,24.11,42.65,33.64,47.28,46.88
1,31.59,29.4,44.49,49.11,46.74,46.14,73.75,57.4
