scigrade6,understand,workhard,challenge,choice,makemeth,ownexp,scigrade10,ses,sciach,certsci
4,4,6,6,1,1,1,6,0.347,27.13,1
4,4,4,5,1,1,1,6,-0.469,21.89,1
4,2,6,6,5,1,1,4,0.044,24.74,0
3,4,4,5,1,1,1,4,-0.65,21.76,0
5,6,5,4,1,1,1,5,0.899,26.72,0
4,6,6,5,3,3,4,6,-0.633,26.86,0
5,6,6,6,1,1,1,8,1.2,31.56,0
5,5,5,6,1,1,1,4,-0.017,31.57,1
4,5,6,5,1,1,1,5,0.112,24.64,1
4,5,4,6,1,3,3,5,0.462,26.01,1
5,5,6,6,1,1,1,8,-0.556,28.92,1
4,5,4,5,2,1,1,7,0.451,28.84,0
4,6,6,6,2,1,1,4,-0.275,27.3,0
5,6,6,6,1,2,2,5,-1.096,13.68,1
4,6,6,6,5,1,1,8,-1.018,18.12,1
4,6,6,6,1,1,1,5,-0.071,21.87,1
3,6,4,5,1,1,2,3,-0.708,13.37,1
3,3,5,3,1,1,1,7,-0.385,11.05,1
4,5,6,6,1,1,1,6,-0.294,20.51,1
3,6,6,5,1,1,1,6,-0.389,20.88,1
3,2,5,5,1,1,1,3,-0.276,17.03,0
4,5,6,6,1,1,1,7,-0.423,21.03,0
4,2,6,5,1,1,1,7,-0.754,21.47,0
4,6,6,6,2,3,2,5,-0.447,12.89,0
4,5,4,6,2,1,1,3,-0.626,21.1,0
5,6,6,6,1,1,1,6,0.255,27.63,0
5,6,6,6,1,1,1,7,0.421,17.96,0
3,6,5,5,2,1,1,7,-1.315,19.85,0
5,5,6,6,1,1,1,8,-0.742,16.74,0
5,5,5,6,1,1,2,7,0.225,22.89,0
4,2,6,2,1,1,1,6,-0.965,17.17,0
4,5,6,6,1,1,1,7,1.533,25.68,0
3,2,5,6,3,1,1,4,0.108,21.11,0
3,3,6,6,1,1,1,2,0.641,26.04,0
3,6,6,5,1,1,1,4,-0.452,20.6,0
3,4,6,6,3,1,1,5,-0.823,16.31,0
2,4,6,5,1,1,1,5,-0.051,18.01,0
5,5,5,6,1,1,2,6,-0.12,16.01,1
4,6,6,6,1,1,1,4,0.008,21.72,1
5,5,5,3,1,1,1,8,-0.934,21.41,1
5,4,5,5,1,1,1,4,-0.281,27.95,1
4,6,6,6,3,2,1,5,-0.365,24.23,1
4,3,4,2,1,1,1,4,0.496,26.08,1
3,6,6,6,1,1,2,4,-0.489,24.57,1
4,5,3,3,1,1,1,3,0.177,25.33,1
2,3,2,5,1,1,1,2,-0.969,18.88,1
4,4,5,6,1,1,1,7,-0.68,25.02,1
3,2,3,3,1,1,1,3,0.323,17.84,1
3,3,5,2,1,1,1,3,0.008,14.58,1
5,2,6,6,2,1,1,8,-0.214,26.89,1
3,4,6,6,1,2,2,3,-0.939,20.43,1
5,5,6,5,1,1,1,7,-0.019,24.55,1
4,4,5,4,2,1,1,3,0.762,11.24,0
2,5,2,5,2,3,2,2,-0.679,20.67,1
3,2,2,4,2,1,1,3,-0.913,12.56,1
4,3,3,3,1,1,1,7,0.602,28.63,0
4,4,6,5,2,1,1,6,0.56,18.64,0
3,1,1,1,1,1,2,5,0.95,20.85,0
5,4,3,3,1,1,1,8,1.115,31.12,0
3,6,6,6,4,1,1,4,0.136,24.18,0
4,4,5,4,3,4,2,7,-0.289,26.33,0
5,4,6,5,1,1,1,2,-0.389,21.22,0
2,3,6,6,5,3,2,4,-0.543,14.4,0
5,4,5,3,1,1,1,7,-0.392,29.64,1
5,6,6,6,1,1,1,8,0.375,34.64,0
5,5,6,6,1,2,2,3,1.4,23.54,1
4,3,5,3,1,1,1,4,-0.005,12.9,1
5,4,6,4,2,1,1,8,1.044,32.45,0
5,5,2,3,1,1,1,8,1.144,34.64,0
4,5,5,6,3,3,3,7,1.061,25.81,0
4,6,6,6,1,1,1,3,0.137,20.11,0
4,5,6,5,1,1,1,6,0.473,26.9,0
5,6,6,6,1,1,1,8,-0.282,28.59,0
4,4,5,6,1,1,1,3,-1.393,16.39,0
4,2,6,6,1,1,2,4,-0.559,19.9,0
3,3,6,4,1,1,2,4,-0.964,20.87,0
5,2,6,6,1,1,1,3,-0.64,22.6,0
5,3,6,6,1,1,1,2,-0.65,24.05,0
5,6,5,6,1,1,1,8,-0.631,30.22,0
4,4,5,6,1,1,1,3,-0.703,16.2,0
5,5,6,5,1,1,1,6,0.149,19.06,0
3,3,4,5,1,1,3,3,-0.249,23.1,0
2,3,6,6,1,1,1,4,0.618,29.11,0
4,6,6,6,3,3,2,6,-0.456,16.47,0
5,6,3,3,1,1,1,8,0.82,29.79,0
5,4,4,5,1,1,2,7,0.344,28.07,0
3,4,5,5,1,1,1,2,-0.885,17.57,0
4,3,5,3,1,1,1,5,-0.23,14.07,0
5,6,6,4,1,1,1,8,1.099,31.45,0
5,6,6,6,1,1,1,8,0.639,22.41,0
5,5,6,5,1,1,1,6,-0.972,21.09,1
5,5,6,5,1,1,1,7,0.65,32.92,0
4,6,6,5,3,2,1,7,0.805,26.14,0
5,4,5,5,1,2,3,8,1.664,29.31,0
3,6,6,5,1,1,1,4,-0.401,23.99,1
2,3,5,5,3,1,1,5,-1.151,14.46,1
3,5,4,5,1,1,1,7,-0.741,22.33,0
3,5,6,4,1,1,2,6,-0.735,23.43,1
5,3,5,5,1,1,3,4,-0.258,23.52,1
2,3,6,5,1,1,1,5,0.747,17.57,1
5,6,5,3,1,1,1,7,-0.839,32.32,1
4,6,6,6,1,1,1,6,-0.019,30.52,0
4,6,6,6,2,1,1,4,0.36,25.16,1
